chemical formula,crystal system,Structure Type,structure rank,ICSD ref #,space group,avg bond length (Å),polyhedral volume (Å^3),distortion index,quadratic elongation,bond angle variance (deg^2),ECoN,cation,Cation rank,ionic radius,charge,,,
NaNb3O8-Nb2,orthorhombic,,7,202400,pmnm,2.1273,11.8022,0.15692,1.0901,186.034,3.0088,Nb,51,0.64,5,,,
KTiTaO5-Ta/Ti,orthorhombic,KTiNbO5,7,10497,pnma,2.0152,9.8377,0.06745,1.0796,266.0006,3.4427,Ta,52,0.64,5,,,
KTiTaO5-Ta/Ti,orthorhombic,KTiNbO5,7,10497,pnma,2.0152,9.8377,0.06745,1.0796,266.0006,3.4427,Ti,40,0.605,4,,,
KTiTaO5-Ti/Ta,orthorhombic,KTiNbO5,7,10497,pnma,1.9452,9.3864,0.07369,1.0403,99.4672,3.9863,Ti,40,0.605,4,,,
KTiTaO5-Ti/Ta,orthorhombic,KTiNbO5,7,10497,pnma,1.9452,9.3864,0.07369,1.0403,99.4672,3.9863,Ta,52,0.64,5,,,
LiTiNbO5-Ti/Nb,monoclinic,,7,165424,P 21/m,2.0858,11.4786,0.09333,1.0478,120.2903,3.7377,Ti,40,0.605,4,,,
LiTiNbO5-Ti/Nb,monoclinic,,7,165424,P 21/m,2.0858,11.4786,0.09333,1.0478,120.2903,3.7377,Nb,51,0.64,5,,,
LiTiNbO5-Nb/Ti,monoclinic,,7,165424,P 21/m,2.0023,10.5674,0.07583,1.016,23.961,3.9953,Nb,51,0.64,5,,,
LiTiNbO5-Nb/Ti,monoclinic,,7,165424,P 21/m,2.0023,10.5674,0.07583,1.016,23.961,3.9953,Ti,40,0.605,4,,,
K4Nb6O17-Nb1,orthorhombic,,7,35030,P 21 n b,1.9954,9.9974,0.06902,1.0474,132.7226,3.389,Nb,51,0.64,5,,,
K4Nb6O17-Nb2,orthorhombic,,7,35030,P 21 n b,2.0931,11.8441,0.08918,1.0334,67.1026,4.1854,Nb,51,0.64,5,,,
K4Nb6O17-Nb3,orthorhombic,,7,35030,P 21 n b,2.0039,10.3854,0.05194,1.0267,73.279,4.6308,Nb,51,0.64,5,,,
K4Nb6O17-Nb4,orthorhombic,,7,35030,P 21 n b,2.0395,10.8708,0.06019,1.0323,95.3811,4.7106,Nb,51,0.64,5,,,
K4Nb6O17-Nb5,orthorhombic,,7,35030,P 21 n b,1.9984,10.0947,0.06633,1.0427,120.7266,4.2407,Nb,51,0.64,5,,,
K4Nb6O17-Nb6,orthorhombic,,7,35030,P 21 n b,2.0689,11.0937,0.07218,1.0533,143.9122,4.4975,Nb,51,0.64,5,,,
KNb3O8-Nb1,orthorhombic,,7,31994,A m a m,2.0275,10.4439,0.07087,1.0527,144.5377,3.8511,Nb,51,0.64,5,,,
KNb3O8-Nb2,orthorhombic,,7,31994,A m a m,2.0214,10.3683,0.08693,1.0516,140.9721,3.8125,Nb,51,0.64,5,,,
